Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Country,Action
NRG,Apple Inc,Common stocks,Large cap,Information Technology,"$2,486,290,142,690 ",0.56%,USA,Analyze
AZPN,Microsoft Corp,Common stocks,Large cap,Information Technology,"$2,177,001,623,967 ",0.76%,USA,Analyze
TRGP,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$1,865,907,044,928 ",0.00%,USA,Analyze
LAD,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"$1,817,040,051,763 ",0.00%,USA,Analyze
STOR,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"$1,817,040,051,763 ",0.00%,USA,Analyze
NI,Facebook Inc Class A,Common stocks,Large cap,Communication Services,"$1,063,000,887,675 ",0.00%,USA,Analyze
WAL,Berkshire Hathaway Inc.,Common stocks,Large cap,Financials,"$637,485,114,286 ",0.00%,USA,Analyze
JAZZ,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$633,505,369,214 ",0.00%,USA,Analyze
CUBE,Visa Inc Class A,Common stocks,Large cap,Information Technology,"$551,551,000,000 ",0.50%,USA,Analyze
DBX,JP Morgan Chase & Co,Common stocks,Large cap,Financials,"$459,063,978,185 ",2.35%,USA,Analyze
RS,Johnson & Johnson,Common stocks,Large cap,Health Care,"$452,601,771,036 ",2.36%,USA,Analyze
COLD,Walmart Stores Inc,Common stocks,Large cap,Consumer Staples,"$399,670,073,568 ",1.52%,USA,Analyze
SCI,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"$390,258,574,705 ",1.25%,USA,Analyze
NTRA,Mastercard Inc Class A,Common stocks,Large cap,Information Technology,"$386,085,108,354 ",0.44%,USA,Analyze
OC,Paypal Holdings Inc,Common stocks,Large cap,Information Technology,"$360,406,566,967 ",0.00%,USA,Analyze
VRT,Home Depot Inc,Common stocks,Large cap,Consumer Discretionary,"$352,129,928,172 ",1.89%,USA,Analyze
GL,Procter & Gamble,Common stocks,Large cap,Consumer Staples,"$343,438,095,220 ",2.35%,USA,Analyze
UGI,Bank of America Corp,Common stocks,Large cap,Financials,"$326,748,080,202 ",1.87%,USA,Analyze
WU,Walt Disney,Common stocks,Large cap,Communication Services,"$324,758,436,047 ",0.49%,USA,Analyze
PNW,Adobe Inc,Common stocks,Large cap,Information Technology,"$295,749,120,000 ",0.00%,USA,Analyze
PEN,Comcast A Corp,Common stocks,Large cap,Communication Services,"$269,130,390,934 ",1.63%,USA,Analyze
ACI,Nike Inc Class B,Common stocks,Large cap,Consumer Discretionary,"$259,163,237,341 ",0.65%,USA,Analyze
AGCO,Exxon Mobil Corp,Common stocks,Large cap,Energy,"$247,577,355,866 ",5.80%,USA,Analyze
GWRE,Coca-Cola,Common stocks,Large cap,Consumer Staples,"$246,024,498,859 ",2.88%,USA,Analyze
CMA,Oracle Corp,Common stocks,Large cap,Information Technology,"$245,305,120,000 ",1.27%,USA,Analyze
AIZ,Pfizer Inc,Common stocks,Large cap,Health Care,"$234,039,580,579 ",3.63%,USA,Analyze
GLOB,Cisco Systems Inc,Common stocks,Large cap,Information Technology,"$233,761,931,436 ",2.60%,USA,Analyze
UPST,Eli Lilly,Common stocks,Large cap,Health Care,"$233,244,578,722 ",1.30%,USA,Analyze
MANH,Verizon Communications Inc,Common stocks,Large cap,Communication Services,"$230,932,972,569 ",4.43%,USA,Analyze
MRO,Salesforce.Com Inc,Common stocks,Large cap,Information Technology,"$229,277,600,000 ",0.00%,USA,Analyze
BFAM,Netflix Inc,Common stocks,Large cap,Communication Services,"$228,182,703,682 ",0.00%,USA,Analyze
SMAR,Intel Corporation Corp,Common stocks,Large cap,Information Technology,"$220,335,670,000 ",2.47%,USA,Analyze
PLTK,Pepsico Inc,Common stocks,Large cap,Consumer Staples,"$217,088,796,139 ",2.61%,USA,Analyze
G,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"$212,578,371,545 ",1.10%,USA,Analyze
VST,Abbott Laboratories,Common stocks,Large cap,Health Care,"$212,365,544,089 ",1.42%,USA,Analyze
TW,Abbvie Inc,Common stocks,Large cap,Health Care,"$208,043,328,957 ",4.24%,USA,Analyze
BLDR,Thermo Fisher Scientific Inc,Common stocks,Large cap,Health Care,"$207,958,915,040 ",0.18%,USA,Analyze
ACM,Danaher Corp,Common stocks,Large cap,Health Care,"$207,159,375,772 ",0.27%,USA,Analyze
Y,AT&T Inc.,Common stocks,Large cap,Communication Services,"$201,205,200,000 ",7.29%,USA,Analyze
SYNH,Broadcom Inc.,Common stocks,Large cap,Information Technology,"$197,844,052,454 ",2.88%,USA,Analyze
FRT,Merck & Co Inc,Common stocks,Large cap,Health Care,"$195,576,188,035 ",3.27%,USA,Analyze
LAMR,Chevron Corp,Common stocks,Large cap,Energy,"$194,637,574,120 ",5.10%,USA,Analyze
NBIX,Costco Wholesale Corp,Common stocks,Large cap,Consumer Staples,"$187,096,901,384 ",0.67%,USA,Analyze
JNPR,Wells Fargo,Common stocks,Large cap,Financials,"$186,052,053,260 ",0.88%,USA,Analyze
KIM,Mcdonalds Corp,Common stocks,Large cap,Consumer Discretionary,"$182,051,601,810 ",2.08%,USA,Analyze
ARMK,United Parcel Service Inc Class B,Common stocks,Large cap,Industrials,"$181,402,984,000 ",1.92%,USA,Analyze
MKSI,T Mobile US Inc,Common stocks,Large cap,Communication Services,"$180,756,972,512 ",0.00%,USA,Analyze
WEX,Morgan Stanley,Common stocks,Large cap,Financials,"$179,621,253,854 ",1.44%,USA,Analyze
ATR,Texas Instrument Inc,Common stocks,Large cap,Information Technology,"$173,803,509,140 ",2.62%,USA,Analyze
CONE,Medtronic Plc,Common stocks,Large cap,Health Care,"$172,113,808,333 ",1.84%,USA,Analyze
LSI,Qualcomm Inc,Common stocks,Large cap,Information Technology,"$161,868,000,000 ",1.84%,USA,Analyze
ST,Honeywell International Inc,Common stocks,Large cap,Industrials,"$158,274,031,501 ",0.41%,USA,Analyze
OHI,Philip Morris International Inc,Common stocks,Large cap,Consumer Staples,"$154,357,504,183 ",4.75%,USA,Analyze
DNB,Bristol Myers Squibb,Common stocks,Large cap,Health Care,"$151,141,193,776 ",2.81%,USA,Analyze
CIEN,Nextera Energy Inc,Common stocks,Large cap,Utilities,"$150,672,070,008 ",1.90%,USA,Analyze
NLSN,Starbucks Corp,Common stocks,Large cap,Consumer Discretionary,"$148,410,438,000 ",1.39%,USA,Analyze
WMS,Intuit Inc,Common stocks,Large cap,Information Technology,"$145,054,754,716 ",0.44%,USA,Analyze
NNN,Union Pacific Corp,Common stocks,Large cap,Industrials,"$143,590,948,617 ",1.80%,USA,Analyze
SEIC,Amgen Inc,Common stocks,Large cap,Health Care,"$140,811,690,889 ",2.71%,USA,Analyze
FSLR,Citigroup Inc,Common stocks,Large cap,Financials,"$140,083,810,363 ",2.97%,USA,Analyze
UA,Lowes Companies Inc,Common stocks,Large cap,Consumer Discretionary,"$139,780,455,690 ",1.31%,USA,Analyze
UAA,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"$137,662,150,306 ",0.00%,USA,Analyze
BERY,American Express,Common stocks,Large cap,Financials,"$137,127,093,248 ",0.99%,USA,Analyze
FHN,"Moderna, Inc.",Common stocks,Large cap,Health Care,"$134,861,138,491 ",0.00%,USA,Analyze
PII,Blackrock Inc,Common stocks,Large cap,Financials,"$132,925,233,207 ",1.77%,USA,Analyze
YETI,Boeing,Common stocks,Large cap,Industrials,"$132,079,353,858 ",0.00%,USA,Analyze
ERIE,Raytheon Technologies Corporation,Common stocks,Large cap,Industrials,"$130,221,974,327 ",2.23%,USA,Analyze
AGNC,Target Corp,Common stocks,Large cap,Consumer Discretionary,"$129,053,659,337 ",1.04%,USA,Analyze
VNO,Charles Schwab Corporation,Common stocks,Large cap,Financials,"$127,852,598,845 ",1.05%,USA,Analyze
ARW,Goldman Sachs Group Inc,Common stocks,Large cap,Financials,"$127,716,608,725 ",1.32%,USA,Analyze
CBSH,International Business Machines Co,Common stocks,Large cap,Information Technology,"$127,568,254,154 ",4.49%,USA,Analyze
